,genres,weekly_hours_viewed
0,action,62564192.43986254
1,adult,22273076.923076924
2,adventure,43211380.952380955
3,animation,51671100.91743119
4,biography,50860600.0
5,comedy,46562100.656455144
6,crime,55935498.28178694
7,documentary,40858830.40935673
8,drama,67476055.31295487
9,family,42925056.17977528
10,fantasy,70020985.91549295
11,film-noir,75660000.0
12,game-show,33427058.82352941
13,history,39705510.20408163
14,horror,56586619.71830986
15,music,50903030.303030305
16,musical,100207500.0
17,mystery,83514509.80392157
18,news,188652500.0
19,reality-tv,44025200.0
20,romance,62264976.07655502
21,sci-fi,44575806.451612905
22,short,82807557.25190839
23,sport,52572000.0
24,talk-show,112523333.33333333
25,thriller,48159774.43609022
26,war,59269411.76470588
27,western,22350000.0
