,Country,Subscribers,Percentage_cum
0,Argentina,1.0,1.0
1,Australia,6622078.0,0.7096705408917097
2,Austria,961399.0,0.956127312656648
3,Bahamas,1.0,1.0
4,Bahrain,1.0,1.0
5,Bangladesh,1.0,1.0
6,Belgium,1699092.0,0.9324922676859622
7,Bolivia,1.0,1.0
8,Brazil,18836193.0,0.4373451210306027
9,Bulgaria,177887.0,0.9968336234506686
10,Canada,6895241.0,0.6769032399333749
11,Chile,978172.0,0.95137012761986
12,Colombia,2823517.0,0.8963375149399467
13,Costa Rica,307825.0,0.9940334476078256
14,Croatia,119162.0,0.9981312813624332
15,Cyprus,51003.0,0.99984565605366
16,Czech Republic,472210.0,0.985122118412822
17,Denmark,951883.0,0.9608374107162182
18,Dominican Republic,1.0,1.0
19,Ecuador,1.0,1.0
20,Egypt,1.0,1.0
21,El Salvador,1.0,1.0
22,Estonia,54382.0,0.999593283512778
23,Finland,1.0,1.0
24,France,8650354.0,0.6000912376984159
25,Germany,11057366.0,0.557287641468632
26,Greece,535372.0,0.9780339795580568
27,Guadeloupe,1.0,1.0
28,Guatemala,1.0,1.0
29,Honduras,1.0,1.0
30,Hong Kong,1.0,1.0
31,Hungary,350487.0,0.9908317063436796
32,Iceland,1.0,1.0
33,India,5201502.0,0.7878966814339463
34,Indonesia,912424.0,0.9653522581416952
35,Ireland,547469.0,0.9753848571151218
36,Israel,1.0,1.0
37,Italy,3812839.0,0.8524546541177003
38,Jamaica,1.0,1.0
39,Japan,5367199.0,0.736228461975737
40,Jordan,1.0,1.0
41,Kenya,1.0,1.0
42,Kuwait,1.0,1.0
43,Latvia,58777.0,0.999324191037468
44,Lebanon,1.0,1.0
45,Lithuania,143087.0,0.9975416451309064
46,Luxembourg,86580.0,0.999033351266564
47,Malaysia,1.0,1.0
48,Maldives,1.0,1.0
49,Malta,31192.0,1.0
50,Martinique,1.0,1.0
51,Mauritius,1.0,1.0
52,Mexico,8628011.0,0.6427842765162648
53,Morocco,1.0,1.0
54,Netherlands,2850756.0,0.8823662160062926
55,New Caledonia,1.0,1.0
56,New Zealand,1355958.0,0.9465299465901263
57,Nicaragua,1.0,1.0
58,Nigeria,1.0,1.0
59,Norway,2034578.0,0.9064049937055558
60,Oman,1.0,1.0
61,Pakistan,1.0,1.0
62,Panama,1.0,1.0
63,Paraguay,1.0,1.0
64,Peru,1.0,1.0
65,Philippines,1.0,1.0
66,Poland,1796961.0,0.9152966983785286
67,Portugal,717675.0,0.97267587641626
68,Qatar,1.0,1.0
69,Romania,481000.0,0.9804140590075828
70,Russia,191652.0,0.9959534047541242
71,Réunion,1.0,1.0
72,Saudi Arabia,1.0,1.0
73,Serbia,1.0,1.0
74,Singapore,479261.0,0.9827855335544836
75,Slovakia,1.0,1.0
76,Slovenia,95723.0,0.9986049369656494
77,South Africa,361787.0,0.9890974300317752
78,South Korea,4296893.0,0.8335880018344326
79,Spain,4937053.0,0.8123261583290009
80,Sri Lanka,1.0,1.0
81,Sweden,1776031.0,0.9240848374322111
82,Switzerland,1480974.0,0.9398204086063
83,Taiwan,1.0,1.0
84,Thailand,1.0,1.0
85,Trinidad and Tobago,1.0,1.0
86,Turkey,3194194.0,0.8682601333218575
87,Ukraine,1.0,1.0
88,United Arab Emirates,1.0,1.0
89,United Kingdom,13182309.0,0.5025736922326884
90,United States,69548673.0,0.344140056858861
91,Uruguay,1.0,1.0
92,Venezuela,1.0,1.0
93,Vietnam,339228.0,0.9925102709829808
