,index,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,genres
0,0,2023-10-22,Films (English),1,old dads,,23100000,1.7333,13300000.0,1,False,,comedy
1,1,2023-10-22,Films (English),2,the devil on trial,,11000000,1.3667,8000000.0,1,False,,crime
1,1,2023-10-22,Films (English),2,the devil on trial,,11000000,1.3667,8000000.0,1,False,,documentary
1,1,2023-10-22,Films (English),2,the devil on trial,,11000000,1.3667,8000000.0,1,False,,horror
2,2,2023-10-22,Films (English),3,gemini man,,14300000,1.95,7300000.0,5,False,,action
2,2,2023-10-22,Films (English),3,gemini man,,14300000,1.95,7300000.0,5,False,,adventure
2,2,2023-10-22,Films (English),3,gemini man,,14300000,1.95,7300000.0,5,False,,sci-fi
3,3,2023-10-22,Films (English),4,reptile,,15800000,2.2667,7000000.0,4,False,,documentary
4,4,2023-10-22,Films (English),5,long shot,,8800000,2.0833,4200000.0,1,False,,drama
4,4,2023-10-22,Films (English),5,long shot,,8800000,2.0833,4200000.0,1,False,,romance
5,5,2023-10-22,Films (English),6,fair play,,7300000,1.9167,3800000.0,3,False,,drama
6,6,2023-10-22,Films (English),7,no hard feelings,,6600000,1.7333,3800000.0,1,False,,crime
6,6,2023-10-22,Films (English),7,no hard feelings,,6600000,1.7333,3800000.0,1,False,,drama
7,7,2023-10-22,Films (English),8,tammy,,6000000,1.6,3800000.0,1,False,,comedy
8,8,2023-10-22,Films (English),9,spy kids,,5400000,1.4667,3700000.0,1,False,,action
8,8,2023-10-22,Films (English),9,spy kids,,5400000,1.4667,3700000.0,1,False,,adventure
8,8,2023-10-22,Films (English),9,spy kids,,5400000,1.4667,3700000.0,1,False,,comedy
9,9,2023-10-22,Films (English),10,scary movie,,5400000,1.4667,3700000.0,1,False,,comedy
9,9,2023-10-22,Films (English),10,scary movie,,5400000,1.4667,3700000.0,1,False,,horror
9,9,2023-10-22,Films (English),10,scary movie,,5400000,1.4667,3700000.0,1,False,,thriller
10,10,2023-10-22,Films (Non-English),1,the conference,,10900000,1.6667,6500000.0,2,False,,crime
10,10,2023-10-22,Films (Non-English),1,the conference,,10900000,1.6667,6500000.0,2,False,,drama
11,11,2023-10-22,Films (Non-English),2,nowhere,,9100000,1.8167,5000000.0,4,False,,short
12,12,2023-10-22,Films (Non-English),3,ballerina,,6600000,1.5667,4200000.0,3,False,,drama
12,12,2023-10-22,Films (Non-English),3,ballerina,,6600000,1.5667,4200000.0,3,False,,music
13,13,2023-10-22,Films (Non-English),4,the quake,,6400000,1.7167,3700000.0,1,False,,comedy
14,14,2023-10-22,Films (Non-English),5,forgotten love,,8300000,2.3333,3600000.0,4,False,,drama
14,14,2023-10-22,Films (Non-English),5,forgotten love,,8300000,2.3333,3600000.0,4,False,,romance
15,15,2023-10-22,Films (Non-English),6,ìjọ̀gbọ̀n,,5700000,1.9333,2900000.0,2,False,,drama
15,15,2023-10-22,Films (Non-English),6,ìjọ̀gbọ̀n,,5700000,1.9333,2900000.0,2,False,,thriller
16,16,2023-10-22,Films (Non-English),7,heaven in hell,,5200000,2.0,2600000.0,1,False,,drama
16,16,2023-10-22,Films (Non-English),7,heaven in hell,,5200000,2.0,2600000.0,1,False,,romance
17,17,2023-10-22,Films (Non-English),8,dream girl 2,,4600000,2.1167,2200000.0,1,False,,comedy
17,17,2023-10-22,Films (Non-English),8,dream girl 2,,4600000,2.1167,2200000.0,1,False,,drama
17,17,2023-10-22,Films (Non-English),8,dream girl 2,,4600000,2.1167,2200000.0,1,False,,romance
