,show_title,genres,
0,learning and fun with jose comelon,"Animation,Comedy,Family",
1,encounters,"Documentary,History",
2,gangs of oslo,Crime,
3,predators,"Action,Adventure,Fantasy",
4,lion's den,Drama,
5,bird box barcelona,"Horror,Mystery,Sci-Fi",
6,abduction,"Action,Mystery,Thriller",
7,mystery of the dragon seal: journey to china,"Action,Adventure,Fantasy",
8,"pablo escobar, el patrón del mal","Biography,Crime,Drama",
9,astérix & obélix: the middle kingdom,"Adventure,Comedy,Family",
10,mrs. chatterjee vs norway,"Biography,Drama",
11,til money do us part,Drama,
12,비상선언,"Action,Drama,Thriller",
13,sky high: the series,"Action,Adventure,Crime",
14,maestro in blue,"Crime,Drama,Mystery",
15,i still believe,"Biography,Drama,Music",
16,the condemned,"Action,Crime,Thriller",
17,unlocked,"Crime,Drama,Mystery",
18,the unbroken voice,"Biography,Drama,Music",
19,you people,"Comedy,Romance",
20,guillermo del toro’s pinocchio,"Animation,Drama,Family",
21,the recruit,"Action,Adventure,Crime",
22,sean eternos: campeones de américa,"Documentary,Sport",
23,lost bullet 2,"Action,Crime,Thriller",
24,minions & more volume 2,"Animation,Comedy,Adventure",
25,passion simple,"Drama,Romance",
26,the watcher,"Drama,Horror,Mystery",
27,minions & more volume 1,"Animation,Comedy,Adventure",
28,inseparables,"Comedy,Drama",
29,narco-saints,"Action,Crime,Biography",
30,hanna,"Action,Drama",
31,labor day,"Drama,Romance,Thriller",
32,welcome home roscoe jenkins,"Comedy,Romance",
33,code name: emperor,"Drama,Thriller",
34,don’t blame karma!,"Comedy,Romance",
35,clean,"Action,Crime,Drama",
36,tiempo de valientes,"Action,Comedy,Crime",
37,my daughter’s killer,"Crime,Documentary",
38,radio,"Biography,Drama,Sport",
39,"malverde, el santo patrón",Drama,
40,peaky blinders,"Crime,Drama",
41,centauro,"Action,Adventure,Crime",
42,horsemen,"Crime,Mystery,Thriller",
43,rrr (hindi),"Action,Drama",
44,the takedown,"Action,Comedy,Crime",
45,honeymoon with my mother,Comedy,
46,juvenile justice,"Crime,Drama",
47,todos queremos a alguien,"Comedy,Romance",
48,13 hours: the secret soldiers of benghazi,"Action,Drama,History",
49,munich – the edge of war,"Biography,Drama,History",
50,amandla,"Crime,Drama",
51,nymphomaniac: volume 1,Drama,
52,the hand of god,Drama,
53,bordertown: mural murders,"Crime,Drama,Mystery",
54,jurassic world camp cretaceous,"Action,Adventure,Animation",
55,the hangover: part iii,"Comedy,Crime",
56,the princess switch 3: romancing the star,"Comedy,Drama,Family",
57,yara,"Crime,Drama,Thriller",
58,amina,"Action,Adventure,Biography",
59,luis miguel - the series,"Biography,Drama,History",
60,der fall collini,"Crime,Drama,Thriller",
61,lucifer,"Crime,Drama,Fantasy",
62,firedrake the silver dragon,"Animation,Comedy,Adventure",
63,alpha,"Action,Adventure,Drama",
64,sas: rise of the black swan,"Action,Thriller",
65,invasion,"Fantasy,Drama,Sci-Fi",
66,"newly rich, newly poor","Comedy,Drama,Family",
67,rurouni kenshin: the beginning,"Action,Adventure,Drama",
68,fear street part 1: 1994,"Drama,Horror,Thriller",
69,fear street part 2: 1978,"Drama,Horror,Mystery",
70,señora acero,"Crime,Drama,Romance",
71,inside the world’s toughest prisons,Documentary,
72,dr. seuss' the grinch,"Family,Musical",
73,"ordinary men: the ""forgotten holocaust""","Documentary,History,War",
74,untold: swamp kings,Documentary,
75,outback,"Drama,Horror,Thriller",
76,blockers,"Comedy,Drama",
77,scorpion king 5: book of souls,"Action,Adventure,Fantasy",
78,the boss baby: family business,"Adventure,Animation,Comedy",
79,emergency: nyc,Documentary,
80,snake eyes: g.i. joe origins,"Action,Adventure,Crime",
81,24 hours to live,"Action,Sci-Fi,Thriller",
